"ID","장비명","시/도","시/군/구","읍/면/동","번지","상세주소","설치장소","RSRP AVG","SINR AVG","TX_PWR AVG","측정수 ","RF_Pot수","평균측정수"
"SIPS06715T","중앙하이츠2차지하주차장1_L","부산광역시","동래구","낙민동","90-6","낙민파출소에서망미동방향500m좌측편","B1층비상계단우측벽면","-85.66666666666667","11.943333333333333","-3.0","70.0","4.0","23.0"
"SIPS06184T","사직쌍용예가2차207동CCTV(소스)_L","부산광역시","동래구","사직동","600-18","사직야구장주변예원초등학교사잇길직진하여쌍용예가1차지나면있음","B1휀실안(A08)","-85.28333333333333","3.8216666666666668","-2.4450000000000003","130.0","10.0","21.0"
"SIPS06075T","화음빌딩_L","부산광역시","동래구","온천동","1413-6","미남교차로에서사직운동장방향(구고속버스터미널)으로직진하던중좌측에반도보라아파트끝지점도로좌회전김밥나라에서100M지점8층건물","1층EPS실","-85.24545454545455","10.374545454545455","-3.1545454545454548","590.0","24.0","53.0"
"SIPS00641K","안락1차SK아파트1동-2","부산광역시","동래구","안락동","472-57","안락동맥도날드맞은편안락SKAPT 116동B2","지하3층중앙계단실옆벽면","-81.78166666666667","6.8741666666666665","4.2475","890.0","26.0","74.0"
"PIPS30425K","사직기도원","부산광역시","동래구","사직동","55-2","온천반도아파트에서사직운동장방면으로직진하여삼거리가기전우회금강초등학교맞은편지하","지하1층에어컨위벽면","-81.08500000000001","7.5","1.835","50.0","4.0","25.0"
"SIPS05408T","사직삼정그린코아_L","부산광역시","동래구","사직동","981-100","사직야구장에서사직주공아파트방향으로좌회전하여부산지방청별관을지나사직중학교방향으로500m쯤에서좌측","B1층유수검치장벽면","-88.311","17.284000000000002","0.425","420.0","22.0","42.0"
"PIPS52195K","주피터탁구장","부산광역시","동래구","사직동","129-10","사직동여명중학교길건너편블럭건물지하","지하1층입구정면외벽","-79.31","13.885555555555555","-4.638888888888889","1680.0","55.0","186.0"
"SIPS05517T","달과별포장타운_L","부산광역시","동래구","안락동","425-53","안락교차로에서명장방향우측세번째블록뒷편","지하1층화장실옆벽면","-74.1725","17.145","-7.242500000000001","1850.0","58.0","231.0"
"PIPS00573K","온천교회구관","부산광역시","동래구","온천동","436-8","금정빌딩맞은편4층건물","지하1층에덴머리방쪽탁구대있는곳1층으로 올라가는비상계단옆벽면","-77.0","19.0","0.0","10.0","1.0","10.0"
"SIPS00338K","르노삼성자동차","부산광역시","동래구","수안동","9-18","동래경찰서맞은편건물에교대방향으로100m지나큰건물","지하2층부품사무실옆벽","-78.176","10.386","-0.6","170.0","11.0","34.0"
"PIPS20019W","거북이포장센타","부산광역시","동래구","온천동","1250-21","미남로타리에서사직동방면구부산백화점바로맞은편에위치","지하1층계단옆벽면","-76.05888888888887","14.91888888888889","-8.364444444444445","2460.0","65.0","273.0"
"PIPS40001K","대성연립지하보세공장","부산광역시","동래구","사직동","79-5","세명약국에서서람학원앞건물","B1층사무실벽면","-89.015","3.795","2.1675","220.0","11.0","55.0"
"SIPS05076T","CQ대동병원신관(CCTV소스용)_L","부산광역시","동래구","명륜동","530-1","동래교차로에서 안라동방면 메가마트옆 대동병원","신관4층진단검사의학과 유리문통해 비상계단쪽EPS실","-76.77499999999999","8.4425","-4.240833333333334","3430.0","59.0","285.0"
"SIPS45338T","연어야","부산광역시","동래구","명륜동","557-12","동래지하철역4번출구지나우회전후200M직진사거리에서우회전후30M직진우측에위치","B1_주방옆벽면","-70.6025","16.36625","-7.165000000000001","3050.0","45.0","381.0"
"SIPS05294T","낙민벽산아파트104동주차장_L","부산광역시","동래구","낙민동","92-9","영우주유소에서금호맨션앞건물","B1층입구안쪽벽면","-77.71857142857142","12.713571428571429","0.5357142857142857","790.0","36.0","56.0"
"SIPS06805T","안락휴먼시아4단지402동지하주차장_L","부산광역시","동래구","안락동","1256-0","반여동에서 안락동 방면으로 원동교 지나 약 500m 지점 (맞은편 SK주유소 앞) 골목으로 진입하여 약 200m 진행하면 우측에 보임","B1주차장끝우측휀룸내벽면","-79.833","14.088999999999999","-3.5","180.0","14.0","18.0"
"PIPS10087K","웨딩아시아드","부산광역시","동래구","사직동","115-1","아시아드사직주경기장에서교대방향으로150M지점우측웨딩아시아드지하","B1편집실벽면","-72.25625","18.03625","-0.2875","240.0","10.0","30.0"
"SIPS06829T","큐피터모텔_L","부산광역시","동래구","온천동","183-3","온천장 일방통행사거리입구(온천동180-30번지)","지하1층보일러실벽면(온천동180-30번지)","-83.05","3.3370000000000006","-0.392","1210.0","44.0","121.0"
"PIPS10172K","강변뜨란채3단지108","부산광역시","동래구","안락동","1251-0","안락동주공강변뜨란채3단지지하주차장","주차장휀룸","-81.17222222222223","11.991111111111111","-2.1666666666666665","1290.0","34.0","143.0"
"SIPS06274T","필까페_L","부산광역시","동래구","사직동","141-3","동래송월타월방향내성중학교우회전후150M대우아파트옆좌회전30M전방사거리우회전20M전방좌측4층건물지하(마야 커피맥주)","지하1층비상구옆벽면","-83.55","18.09125","-0.0625","820.0","19.0","102.0"
"SIPS45314T","앤씨휘트니스센터_L","부산광역시","동래구","온천동","1413-6","미남교차로에서 사직동 방향 반도보라APT끝지점에서 좌회전 30M 8F 부산은행 건물 지하 2층","B2EPS실벽면","-85.24545454545455","10.374545454545455","-3.1545454545454548","590.0","24.0","53.0"
"SIPS06189T","동래교회지하_L","부산광역시","동래구","복천동","500-1","복천동주민센터에서 우성베스토피아 아파트내 상가건물 동래교회","B1층탁구장벽면","-91.5","17.0","4.5","20.0","2.0","10.0"
"SIPS00640K","안락1차SK아파트1동-1","부산광역시","동래구","안락동","472-57","안락동맥도날드맞은편안락SKAPT 116동B1","지하1층중앙비상계단옆배기FAN실안벽면","-81.78166666666667","6.8741666666666665","4.2475","890.0","26.0","74.0"
"PIPS80193K","휠라스포츠맛사지","부산광역시","동래구","온천동","220-1","온천장사거리에서 금강공원입구 가다 온천극장앞에서 1시방향 골목으로 직진후 약 100m전방 우측편 위치","지하1층비상계단옆벽면 (M휴게실)","-80.82","6.9622222222222225","-9.155555555555557","14780.0","55.0","1642.0"
"PIPS00576K","양귀비","부산광역시","동래구","온천동","183-6","온천동늘봄관광호텔정문우측40M부근","지하1층대기실벽면내","-85.5942857142857","1.7285714285714289","0.8457142857142858","770.0","27.0","110.0"
"PIPS31073K","동래유유병원","부산광역시","동래구","온천동","442-3","부산동래구롯데백화점뒷길원예고등학교온천동방향20M우측건물","지하3층전기실벽면","-76.71555555555557","11.87","-2.3333333333333335","380.0","23.0","42.0"
"PIPS45427K","옥성약품","부산광역시","동래구","사직동","142-1","중앙대로부산교대방면좌회전후219M이동여고북로우회전후213M직진하면도착지점","지하1층복도싱크대좌측벽면","-81.11","18.88125","-3.5","220.0","15.0","27.0"
"SIPS40021T","동양가운_L","부산광역시","동래구","사직동","722-0","동래구 사직동  72-2번지 사직야구장에서사직사거리방향으로가다사거리에서우회전후약600미터지점우회전후약20미터지점동양가운B1","B1공장안조립식판넬벽면","-75.34818181818181","16.10454545454546","-4.852727272727273","2860.0","83.0","260.0"
"PIPS20230K","동인사","부산광역시","동래구","안락동","514-7","안락동한전뒤쪽안락성당후문에서뒤쪽골목평화슈퍼옆지하","잔치떡집맞은편 지하1층공장출입문옆벽면","-77.985","12.094999999999999","3.75","150.0","5.0","37.0"
"PIPS38109K","한빛어린이집","부산광역시","동래구","안락동","444-14","안락로타리에서명장동방향안락초등학교근처삼성아파트건물속","지하1층비상구옆벽면","-74.46428571428571","16.785714285714285","-9.0","120.0","11.0","17.0"
"PIPS42268K","아트컴퓨터지하","부산광역시","동래구","안락동","629-99","철길에서 500m 지점 우회전하여 약 50m 지점","지하1층비상구옆벽면","-74.18","14.886666666666668","-7.71","1400.0","52.0","155.0"
"PIPS01689K","천일궁","부산광역시","동래구","온천동","444-50","온천동성배드로교회정문우측20M부근","지하1층주방안벽면","-81.54","16.296666666666667","1.0","290.0","10.0","48.0"
"PIPS80060W","큐피터모텔","부산광역시","동래구","온천동","183-3","온천장 일방통행사거리입구(온천동180-30번지)","지하1층보일러실벽면(온천동180-30번지)","-83.05","3.3370000000000006","-0.392","1210.0","44.0","121.0"
